buyer_activity,contract_type,buyer_type,quality_criteria,Subnetwork_ID,Subgraph_ID,Number_of_Nodes,Number_of_Edges,Number_of_Winners,Number_of_Buyers,Number_of_Cliques,Largest_Clique_Size,K_Core_Number,Average_Path_Length,Diameter,Disparity_Measure,Density
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_0,4300,5902,2459,1841,5902,2,4,7.293040891067149,19,2.1074010054493142e-06,0.0006385476341171824
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_1,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_2,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_3,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_4,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_5,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_6,20,21,2,18,21,2,2,1.9684210526315788,3,0.1671768707482993,0.11052631578947368
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_7,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_8,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_9,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_10,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_11,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_12,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_13,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_14,5,4,3,2,4,2,1,1.8,3,0.11875,0.4
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_15,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_16,4,3,3,1,3,2,1,1.5,2,0.20833333333333334,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_17,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_18,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_19,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_20,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_21,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_22,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_23,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_24,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_25,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_26,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_27,4,3,3,1,3,2,1,1.5,2,0.20833333333333334,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_28,7,6,5,2,6,2,1,2.1904761904761907,4,0.08333333333333333,0.2857142857142857
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_29,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_30,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_31,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_32,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_33,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_34,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_35,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_36,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_37,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_38,5,4,3,2,4,2,1,1.8,3,0.11875,0.4
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_39,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_40,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_41,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_42,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_43,6,5,2,4,5,2,1,1.8666666666666667,3,0.12666666666666668,0.3333333333333333
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_44,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_45,6,5,1,5,5,2,1,1.6666666666666667,2,0.21666666666666667,0.3333333333333333
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_46,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_47,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_48,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_49,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_50,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_51,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_52,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_53,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_54,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_55,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_56,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_57,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_58,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_59,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_60,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_61,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_62,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_63,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_64,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_65,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_66,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_67,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_68,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_69,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_70,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_71,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_72,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_73,12,12,8,4,12,2,2,2.757575757575758,6,0.04166666666666666,0.18181818181818182
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_74,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_75,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_76,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_77,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_78,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_79,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_80,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_81,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_82,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_83,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_84,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_85,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_86,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_87,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_88,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_89,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_90,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_91,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_92,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_93,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_94,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_95,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_96,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_97,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_98,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_99,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_100,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_101,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_102,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_103,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_104,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_105,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_106,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_107,5,4,2,3,4,2,1,1.8,3,0.11875,0.4
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_108,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_109,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_110,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_111,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_112,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_113,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_114,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_115,4,3,2,2,3,2,1,1.6666666666666667,3,0.125,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_116,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_117,4,3,3,1,3,2,1,1.5,2,0.20833333333333334,0.5
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_118,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_119,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_120,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_121,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_122,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_123,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_124,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_125,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_126,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_127,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_128,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_129,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_130,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_131,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_132,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_133,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_134,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_135,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_136,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_137,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_138,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_139,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_140,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_141,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_142,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_143,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_144,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_145,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_146,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_147,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_148,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_149,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_150,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_151,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_152,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_153,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_154,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_155,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_156,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_157,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_158,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_159,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_160,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_161,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_162,3,2,2,1,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_163,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_164,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_165,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_166,2,1,1,1,1,2,1,1.0,1,0.25,1.0
KL - Általános közszolgáltatások,Építési beruházás,N - Regionális/helyi szintű,Igen,network_428,network_428_167,3,2,1,2,2,2,1,1.3333333333333333,2,0.20833333333333334,0.6666666666666666
